,Log_Returns,10Y,ConsumerSentiment,CPI,FedFunds,GDP,M2,Unemployment,Predicted_Return,Residual
2020-01-31,-0.00040409198473593096,1.51,99.8,259.127,1.55,21727.657,15416.8,3.6,0.006210522791285228,-0.006614614776021159
2020-04-30,0.11954462178744146,0.64,71.8,256.032,0.05,19935.444,17005.8,14.8,0.07409699043552975,0.04544763135191171
2020-07-31,0.0572234131921625,0.55,72.5,258.352,0.09,21684.551,18298.0,10.2,0.06093968619036574,-0.003716272998203235
2020-10-31,-0.025249600471817072,0.88,81.8,260.319,0.09,22068.767,18751.3,6.9,0.0398698730775567,-0.06511947354937377
2021-01-31,-0.010242688997085511,1.11,79.0,262.639,0.09,22656.793,19359.7,6.4,0.03716026138622185,-0.047402950383307364
2021-04-30,0.05155807915110317,1.65,88.3,266.625,0.07,23368.861,20161.8,6.1,0.01810708777380244,0.03345099137730073
2021-07-31,0.02411919454083652,1.24,81.2,271.965,0.1,23921.991,20628.4,5.4,0.01845206643292098,0.0056671281079155415
2021-10-31,0.06781152018535933,1.55,71.7,276.528,0.08,24777.038,21142.5,4.5,0.010658336132376316,0.05715318405298301
2022-01-31,-0.05418293741432855,1.79,67.2,282.542,0.08,25215.491,21587.0,4.0,0.0009348689289195612,-0.055117806343248116
2022-04-30,-0.09186220104445664,2.89,65.2,288.582,0.33,25805.791,21750.0,3.7,-0.018312641042957725,-0.07354956000149891
2022-07-31,0.08809097737433619,2.67,51.5,294.94,1.68,26272.011,21641.7,3.5,0.015954315236284114,0.07213666213805207
2022-10-31,0.07814129136926858,4.1,59.9,297.979,3.08,26734.277,21424.3,3.6,0.019868164253183968,0.05827312711608461
2023-01-31,0.06098888278832892,3.52,64.9,300.456,4.33,27164.359,21205.1,3.5,0.04447504816656629,0.016513834621762626
2023-04-30,0.015848727752841033,3.44,63.7,302.858,4.83,27453.815,20729.8,3.4,0.04542379864488927,-0.029575070892048236
2023-07-31,0.03220911271346324,3.97,71.5,304.615,5.12,27967.697,20772.2,3.5,0.03287894087919414,-0.0006698281657309055
2023-10-31,-0.021947724150478246,4.88,63.8,307.653,5.33,28296.967,20687.6,3.9,0.026547410888250758,-0.048495135038729
